Step,AgentID,Steps to fire up
3,"(12, 73)",-1
3,"(12, 74)",-1
3,"(12, 76)",-1
3,"(12, 78)",-1
3,"(12, 79)",-1
3,"(12, 80)",-1
3,"(12, 81)",-1
3,"(12, 82)",-1
3,"(12, 83)",-1
3,"(12, 84)",-1
3,"(12, 85)",-1
3,"(12, 87)",-1
3,"(12, 88)",-1
3,"(12, 89)",-1
3,"(12, 90)",-1
3,"(12, 92)",-1
3,"(12, 93)",-1
3,"(12, 94)",-1
3,"(12, 95)",-1
3,"(12, 96)",-1
3,"(12, 97)",-1
3,"(12, 98)",-1
3,"(12, 99)",-1
3,"(13, 0)",-1
3,"(13, 2)",-1
3,"(13, 3)",-1
3,"(13, 4)",-1
3,"(13, 5)",-1
3,"(13, 6)",-1
3,"(13, 7)",-1
3,"(13, 8)",-1
3,"(13, 9)",-1
3,"(13, 10)",-1
3,"(13, 12)",-1
3,"(13, 13)",-1
3,"(13, 14)",-1
3,"(13, 15)",-1
3,"(13, 16)",-1
3,"(13, 17)",-1
3,"(13, 18)",-1
3,"(13, 20)",-1
3,"(13, 22)",-1
3,"(13, 23)",-1
3,"(13, 24)",-1
3,"(13, 25)",-1
3,"(13, 26)",-1
3,"(13, 27)",-1
3,"(13, 28)",-1
3,"(13, 29)",-1
3,"(13, 30)",-1
3,"(13, 32)",-1
3,"(13, 33)",-1
3,"(13, 34)",-1
3,"(13, 35)",-1
3,"(13, 36)",-1
3,"(13, 38)",-1
3,"(13, 39)",-1
3,"(13, 40)",-1
3,"(13, 41)",-1
3,"(13, 42)",-1
3,"(13, 43)",-1
