Step,AgentID,State
0,"(6, 19)",-1
0,"(6, 20)",-1
0,"(6, 22)",-1
0,"(6, 23)",-1
0,"(6, 25)",-1
0,"(6, 26)",-1
0,"(6, 27)",-1
0,"(6, 29)",-1
0,"(6, 30)",-1
0,"(6, 31)",-1
0,"(6, 32)",-1
0,"(6, 33)",-1
0,"(6, 34)",-1
0,"(6, 35)",-1
0,"(6, 36)",-1
0,"(6, 37)",-1
0,"(6, 39)",-1
0,"(6, 41)",-1
0,"(6, 42)",-1
0,"(6, 43)",-1
0,"(6, 46)",-1
0,"(6, 47)",-1
0,"(6, 48)",-1
0,"(6, 49)",-1
0,"(6, 50)",-1
0,"(6, 52)",-1
0,"(6, 53)",-1
0,"(6, 55)",-1
0,"(6, 57)",-1
0,"(6, 58)",-1
0,"(6, 59)",-1
0,"(6, 60)",-1
0,"(6, 61)",-1
0,"(6, 62)",-1
0,"(6, 63)",-1
0,"(6, 68)",-1
0,"(6, 69)",-1
0,"(6, 72)",-1
0,"(6, 75)",-1
0,"(6, 78)",-1
0,"(6, 79)",-1
0,"(6, 81)",-1
0,"(6, 83)",-1
0,"(6, 85)",-1
0,"(6, 86)",-1
0,"(6, 87)",-1
0,"(6, 88)",-1
0,"(6, 89)",-1
0,"(6, 95)",-1
0,"(6, 96)",-1
0,"(6, 97)",-1
0,"(6, 98)",-1
0,"(7, 0)",-1
0,"(7, 1)",-1
0,"(7, 6)",-1
0,"(7, 7)",-1
0,"(7, 11)",-1
0,"(7, 14)",-1
0,"(7, 15)",-1
0,"(7, 16)",-1
0,"(7, 17)",-1
0,"(7, 18)",-1
0,"(7, 21)",-1
0,"(7, 22)",-1
0,"(7, 24)",-1
0,"(7, 25)",-1
0,"(7, 27)",-1
0,"(7, 28)",-1
0,"(7, 30)",-1
0,"(7, 31)",-1
0,"(7, 33)",-1
0,"(7, 34)",-1
0,"(7, 35)",-1
0,"(7, 36)",-1
0,"(7, 37)",-1
0,"(7, 40)",-1
0,"(7, 41)",-1
0,"(7, 42)",-1
0,"(7, 45)",-1
0,"(7, 46)",-1
0,"(7, 47)",-1
0,"(7, 50)",-1
0,"(7, 53)",-1
0,"(7, 54)",-1
0,"(7, 56)",-1
0,"(7, 57)",-1
0,"(7, 58)",-1
0,"(7, 59)",-1
0,"(7, 60)",-1
0,"(7, 63)",-1
0,"(7, 64)",-1
0,"(7, 65)",-1
0,"(7, 69)",-1
0,"(7, 70)",-1
0,"(7, 71)",-1
0,"(7, 72)",-1
0,"(7, 73)",-1
0,"(7, 75)",-1
0,"(7, 77)",-1
0,"(7, 80)",-1
