,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
38,0.55,0.32,38,1204.5,4.6,4818,679,4,149,100,100
39,0.55,0.32,39,1575.0,4.0,4725,714,3,177,100,100
40,0.55,0.32,40,709.3,2.9,4965,493,7,171,100,100
41,0.55,0.32,41,600.0,4.9,4800,724,8,147,100,100
42,0.55,0.32,42,824.3,4.0,4946,594,6,150,100,100
43,0.55,0.32,43,1054.5,9.4,4218,1312,4,140,100,100
44,0.55,0.32,44,639.8,11.6,3839,1553,6,134,100,100
45,0.55,0.32,45,862.2,7.6,4311,1190,5,157,100,100
46,0.55,0.32,46,794.7,4.4,4768,737,6,168,100,100
47,0.55,0.32,47,793.8,4.6,4763,732,6,159,100,100
48,0.55,0.32,48,4917.0,4.3,4917,640,1,150,100,100
49,0.55,0.32,49,934.4,4.5,4672,799,5,177,100,100
50,0.55,0.32,50,1218.5,4.4,4874,652,4,148,100,100
51,0.55,0.32,51,1169.0,4.3,4676,789,4,183,100,100
52,0.55,0.32,52,617.8,3.5,4942,560,8,159,100,100
53,0.55,0.32,53,2051.5,12.2,4103,1438,2,118,100,100
54,0.55,0.32,54,1635.7,3.5,4907,562,3,159,100,100
55,0.55,0.32,55,718.6,3.1,5030,515,7,168,100,100
56,0.55,0.32,56,862.3,2.5,5174,395,6,157,100,100
57,0.55,0.32,57,4968.0,4.0,4968,609,1,153,100,100
58,0.55,0.32,58,1126.7,16.1,3380,2010,3,125,100,100
59,0.55,0.32,59,1352.0,10.6,4056,1364,3,129,100,100
60,0.55,0.32,60,850.8,2.6,5105,477,6,186,100,100
61,0.55,0.32,61,1253.8,3.0,5015,523,4,176,100,100
62,0.55,0.32,62,2501.0,2.7,5002,502,2,184,100,100
63,0.55,0.32,63,1346.7,10.2,4040,1455,3,142,100,100
64,0.55,0.32,64,790.8,20.3,3163,2311,4,114,100,100
65,0.55,0.32,65,2586.5,2.5,5173,397,2,158,100,100
66,0.55,0.32,66,2404.5,3.8,4809,661,2,174,100,100
67,0.55,0.32,67,1458.7,7.0,4376,1094,3,157,100,100
68,0.55,0.32,68,380.0,14.7,3420,1967,9,134,100,100
69,0.55,0.32,69,786.3,5.1,4718,776,6,151,100,100
70,0.55,0.32,70,1642.3,3.2,4927,536,3,169,100,100
71,0.55,0.32,71,2557.5,3.0,5115,504,2,166,100,100
72,0.55,0.32,72,1573.7,4.4,4721,736,3,167,100,100
73,0.55,0.32,73,689.1,3.6,4824,604,7,167,100,100
74,0.55,0.32,74,588.0,10.1,4116,1420,7,140,100,100
75,0.55,0.32,75,1642.3,3.7,4927,577,3,155,100,100
76,0.55,0.32,76,849.3,2.1,5096,380,6,177,100,100
77,0.55,0.32,77,1207.0,4.9,4828,730,4,148,100,100
78,0.55,0.32,78,1237.0,3.3,4948,536,4,164,100,100
79,0.55,0.32,79,688.7,3.9,4821,674,7,171,100,100
80,0.55,0.32,80,1175.8,4.8,4703,785,4,162,100,100
81,0.55,0.32,81,911.4,5.6,4557,915,5,162,100,100
82,0.55,0.32,82,2164.0,7.3,4328,1151,2,157,100,100
83,0.55,0.32,83,865.6,7.1,4328,1103,5,156,100,100
84,0.55,0.32,84,1590.3,4.1,4771,693,3,170,100,100
85,0.55,0.32,85,1733.7,2.5,5201,377,3,148,100,100
86,0.55,0.32,86,1693.7,2.8,5081,477,3,168,100,100
87,0.55,0.32,87,1485.3,6.8,4456,1004,3,147,100,100
88,0.55,0.32,88,978.0,12.1,3912,1568,4,130,100,100
89,0.55,0.32,89,862.0,8.9,4310,1137,5,128,100,100
90,0.55,0.32,90,1584.0,4.9,4752,768,3,158,100,100
91,0.55,0.32,91,1162.0,5.4,4648,886,4,165,100,100
92,0.55,0.32,92,650.1,5.7,4551,903,7,159,100,100
93,0.55,0.32,93,1210.2,3.6,4841,587,4,162,100,100
94,0.55,0.32,94,4837.0,4.2,4837,630,1,150,100,100
95,0.55,0.32,95,1008.0,3.8,5040,549,5,145,100,100
96,0.55,0.32,96,1177.2,6.6,4709,839,4,128,100,100
97,0.55,0.32,97,677.9,6.4,4745,811,7,126,100,100
98,0.55,0.32,98,492.7,3.4,4927,542,10,158,100,100
99,0.55,0.32,99,663.7,5.8,4646,864,7,148,100,100
100,0.55,0.32,100,1006.6,3.4,5033,491,5,146,100,100
101,0.55,0.32,101,718.3,3.5,5028,563,7,162,100,100
102,0.55,0.32,102,982.8,3.8,4914,604,5,160,100,100
103,0.55,0.32,103,2407.5,4.9,4815,745,2,151,100,100
104,0.55,0.32,104,533.2,3.6,4799,664,9,184,100,100
105,0.55,0.32,105,1510.0,8.7,4530,1089,3,125,100,100
106,0.55,0.32,106,1426.3,7.8,4279,1216,3,155,100,100
107,0.55,0.32,107,1082.5,7.3,4330,1147,4,158,100,100
108,0.55,0.32,108,1093.5,7.9,4374,1101,4,139,100,100
109,0.55,0.32,109,2298.0,6.3,4596,895,2,143,100,100
110,0.55,0.32,110,2333.0,4.8,4666,785,2,164,100,100
111,0.55,0.32,111,4115.0,9.1,4115,1280,1,140,100,100
112,0.55,0.32,112,424.0,5.5,4664,798,11,146,100,100
113,0.55,0.32,113,802.0,5.0,4812,751,6,150,100,100
114,0.55,0.32,114,835.6,7.7,4178,1248,5,163,100,100
115,0.55,0.32,115,966.4,4.6,4832,703,5,154,100,100
116,0.55,0.32,116,4090.0,8.3,4090,1359,1,164,100,100
117,0.55,0.32,117,1076.8,8.1,4307,1181,4,145,100,100
118,0.55,0.32,118,1248.8,3.4,4995,568,4,168,100,100
119,0.55,0.32,119,911.4,5.8,4557,933,5,161,100,100
120,0.55,0.32,120,984.8,3.8,4924,582,5,154,100,100
121,0.55,0.32,121,1185.8,4.2,4743,733,4,174,100,100
122,0.55,0.32,122,803.8,3.4,4823,607,6,176,100,100
123,0.55,0.32,123,1189.5,4.0,4758,683,4,171,100,100
124,0.55,0.32,124,1611.7,3.6,4835,617,3,173,100,100
125,0.55,0.32,125,2379.5,4.6,4759,786,2,171,100,100
126,0.55,0.32,126,1611.3,3.8,4834,683,3,178,100,100
127,0.55,0.32,127,1008.6,3.1,5043,551,5,175,100,100
128,0.55,0.32,128,923.8,4.9,4619,830,5,168,100,100
129,0.55,0.32,129,950.4,4.6,4752,799,5,174,100,100
130,0.55,0.32,130,1194.8,5.3,4779,812,4,154,100,100
131,0.55,0.32,131,1092.0,7.0,4368,1082,4,154,100,100
132,0.55,0.32,132,940.0,5.3,4700,788,5,150,100,100
133,0.55,0.32,133,1367.7,7.7,4103,1283,3,166,100,100
134,0.55,0.32,134,1183.2,5.1,4733,743,4,146,100,100
135,0.55,0.32,135,521.3,5.2,4692,802,9,154,100,100
136,0.55,0.32,136,2346.0,35.5,2346,3159,1,89,100,100
137,0.55,0.32,137,1686.3,2.9,5059,495,3,173,100,100
138,0.55,0.32,138,1489.0,6.1,4467,1001,3,165,100,100
139,0.55,0.32,139,816.2,4.1,4897,596,6,147,100,100
140,0.55,0.32,140,1643.3,3.4,4930,576,3,169,100,100
141,0.55,0.32,141,1151.2,6.8,4605,1006,4,148,100,100
142,0.55,0.32,142,765.8,6.3,4595,897,6,143,100,100
143,0.55,0.32,143,916.0,5.2,4580,932,5,180,100,100
144,0.55,0.32,144,1405.0,7.7,4215,1216,3,158,100,100
145,0.55,0.32,145,643.6,6.3,4505,924,7,146,100,100
146,0.55,0.32,146,1253.8,3.8,5015,547,4,145,100,100
147,0.55,0.32,147,575.3,16.8,3452,1980,6,118,100,100
148,0.55,0.32,148,1221.0,3.5,4884,593,4,171,100,100
149,0.55,0.32,149,1637.3,4.1,4912,624,3,154,100,100
150,0.55,0.32,150,1648.3,3.3,4945,571,3,171,100,100
151,0.55,0.32,151,1605.3,3.9,4816,720,3,185,100,100
152,0.55,0.32,152,648.0,6.2,4536,912,7,148,100,100
153,0.55,0.32,153,1112.8,6.5,4451,985,4,151,100,100
154,0.55,0.32,154,822.7,3.4,4936,549,6,162,100,100
155,0.55,0.32,155,1614.7,3.7,4844,603,3,164,100,100
156,0.55,0.32,156,1563.3,6.4,4690,853,3,134,100,100
157,0.55,0.32,157,1603.3,4.6,4810,714,3,154,100,100
158,0.55,0.32,158,1167.0,4.4,4668,800,4,181,100,100
159,0.55,0.32,159,4708.0,4.8,4708,775,1,162,100,100
160,0.55,0.32,160,611.6,6.9,4281,1102,7,159,100,100
161,0.55,0.32,161,1219.2,3.7,4877,617,4,165,100,100
162,0.55,0.32,162,517.0,9.8,4136,1347,8,138,100,100
163,0.55,0.32,163,1531.7,5.8,4595,928,3,160,100,100
164,0.55,0.32,164,1162.8,5.3,4651,847,4,159,100,100
165,0.55,0.32,165,2456.5,4.4,4913,615,2,141,100,100
166,0.55,0.32,166,993.7,22.1,2981,2451,3,111,100,100
167,0.55,0.32,167,795.7,4.5,4774,734,6,162,100,100
168,0.55,0.32,168,557.7,3.2,5019,514,9,161,100,100
169,0.55,0.32,169,1482.3,7.5,4447,1033,3,138,100,100
170,0.55,0.32,170,879.6,6.5,4398,1041,5,159,100,100
171,0.55,0.32,171,688.0,80.7,1376,4194,2,52,100,100
172,0.55,0.32,172,1291.3,11.8,3874,1554,3,132,100,100
173,0.55,0.32,173,809.3,3.6,4856,620,6,174,100,100
174,0.55,0.32,174,1618.7,3.1,4856,589,3,189,100,100
175,0.55,0.32,175,1352.3,11.1,4057,1437,3,130,100,100
176,0.55,0.32,176,1240.0,3.5,4960,546,4,155,100,100
177,0.55,0.32,177,2407.0,3.8,4814,668,2,178,100,100
178,0.55,0.32,178,1160.0,5.6,4640,890,4,159,100,100
179,0.55,0.32,179,1652.3,3.8,4957,548,3,144,100,100
180,0.55,0.32,180,1135.2,5.5,4541,916,4,167,100,100
181,0.55,0.32,181,1232.8,3.8,4931,556,4,148,100,100
182,0.55,0.32,182,715.9,2.8,5011,512,7,182,100,100
183,0.55,0.32,183,828.5,3.7,4971,545,6,146,100,100
184,0.55,0.32,184,798.3,4.5,4790,697,6,154,100,100
185,0.55,0.32,185,1186.2,4.7,4745,762,4,161,100,100
186,0.55,0.32,186,915.4,5.4,4577,939,5,173,100,100
187,0.55,0.32,187,1231.2,3.7,4925,598,4,163,100,100
188,0.55,0.32,188,1037.2,2.5,5186,392,5,157,100,100
189,0.55,0.32,189,780.8,5.5,4685,794,6,145,100,100
190,0.55,0.32,190,879.2,7.3,4396,1043,5,143,100,100
191,0.55,0.32,191,755.4,12.2,3777,1710,5,140,100,100
192,0.55,0.32,192,2350.5,4.8,4701,825,2,171,100,100
193,0.55,0.32,193,2497.0,3.5,4994,536,2,153,100,100
194,0.55,0.32,194,555.1,3.2,4996,512,9,160,100,100
195,0.55,0.32,195,1179.8,5.2,4719,785,4,151,100,100
196,0.55,0.32,196,2030.0,10.6,4060,1428,2,135,100,100
197,0.55,0.32,197,902.2,15.1,3609,1848,4,122,100,100
198,0.55,0.32,198,974.0,4.1,4870,605,5,149,100,100
199,0.55,0.32,199,2355.0,4.9,4710,798,2,163,100,100
200,0.55,0.32,200,1221.2,5.2,4885,740,4,143,100,100
201,0.55,0.32,201,1645.0,3.5,4935,590,3,167,100,100
202,0.55,0.32,202,732.2,7.6,4393,1077,6,141,100,100
203,0.55,0.32,203,719.1,3.4,5034,566,7,165,100,100
204,0.55,0.32,204,1240.2,4.4,4961,620,4,142,100,100
205,0.55,0.32,205,971.2,3.9,4856,635,5,163,100,100
206,0.55,0.32,206,983.6,3.4,4918,587,5,173,100,100
207,0.55,0.32,207,1564.7,4.6,4694,729,3,157,100,100
208,0.55,0.32,208,1509.0,7.0,4527,1006,3,143,100,100
209,0.55,0.32,209,2529.0,3.4,5058,505,2,147,100,100
210,0.55,0.32,210,974.6,3.5,4873,623,5,176,100,100
211,0.55,0.32,211,2362.5,4.8,4725,732,2,153,100,100
212,0.55,0.32,212,808.0,4.5,4848,703,6,156,100,100
213,0.55,0.32,213,1630.3,3.9,4891,565,3,145,100,100
214,0.55,0.32,214,1623.0,4.1,4869,639,3,155,100,100
215,0.55,0.32,215,1230.2,3.8,4921,599,4,157,100,100
216,0.55,0.32,216,1675.0,2.9,5025,509,3,176,100,100
217,0.55,0.32,217,684.5,8.3,4107,1241,6,150,100,100
218,0.55,0.32,218,2368.5,5.0,4737,749,2,151,100,100
219,0.55,0.32,219,2457.0,3.6,4914,603,2,166,100,100
220,0.55,0.32,220,2185.0,8.7,4370,1157,2,133,100,100
221,0.55,0.32,221,4877.0,4.1,4877,672,1,163,100,100
222,0.55,0.32,222,1213.2,4.2,4853,661,4,158,100,100
223,0.55,0.32,223,961.4,4.8,4807,708,5,147,100,100
224,0.55,0.32,224,770.7,6.0,4624,906,6,151,100,100
225,0.55,0.32,225,990.4,3.6,4952,603,5,169,100,100
226,0.55,0.32,226,1238.0,3.2,4952,573,4,178,100,100
227,0.55,0.32,227,613.4,20.2,3067,2358,5,117,100,100
228,0.55,0.32,228,1625.3,4.4,4876,665,3,150,100,100
229,0.55,0.32,229,2457.0,4.0,4914,619,2,153,100,100
230,0.55,0.32,230,556.0,3.2,5004,523,9,161,100,100
231,0.55,0.32,231,915.0,4.7,4575,805,5,173,100,100
232,0.55,0.32,232,4901.0,4.0,4901,596,1,150,100,100
233,0.55,0.32,233,1203.3,17.9,3610,1966,3,110,100,100
234,0.55,0.32,234,1277.5,3.1,5110,483,4,154,100,100
235,0.55,0.32,235,676.9,4.7,4738,722,7,154,100,100
236,0.55,0.32,236,1235.2,3.8,4941,649,4,171,100,100
237,0.55,0.32,237,1635.3,3.1,4906,565,3,182,100,100
238,0.55,0.32,238,1458.7,7.9,4376,1096,3,138,100,100
239,0.55,0.32,239,2171.5,7.4,4343,1144,2,155,100,100
240,0.55,0.32,240,821.2,3.1,4927,537,6,173,100,100
241,0.55,0.32,241,814.7,4.2,4888,595,6,142,100,100
242,0.55,0.32,242,1580.0,4.2,4740,719,3,170,100,100
243,0.55,0.32,243,452.5,16.1,3620,1824,8,113,100,100
244,0.55,0.32,244,1706.0,2.9,5118,435,3,151,100,100
245,0.55,0.32,245,1128.0,6.2,4512,912,4,147,100,100
246,0.55,0.32,246,1398.0,9.4,4194,1300,3,139,100,100
247,0.55,0.32,247,1485.7,6.3,4457,955,3,151,100,100
248,0.55,0.32,248,1079.2,8.1,4317,1176,4,145,100,100
249,0.55,0.32,249,1634.0,3.6,4902,600,3,168,100,100
250,0.55,0.32,250,553.2,7.4,4426,1074,8,145,100,100
251,0.55,0.32,251,750.2,6.0,4501,930,6,156,100,100
252,0.55,0.32,252,1236.0,2.9,4944,504,4,174,100,100
253,0.55,0.32,253,1622.0,4.3,4866,665,3,154,100,100
254,0.55,0.32,254,1659.7,3.3,4979,557,3,168,100,100
255,0.55,0.32,255,565.2,6.2,4522,964,8,156,100,100
256,0.55,0.32,256,1828.5,14.5,3657,1867,2,129,100,100
257,0.55,0.32,257,1562.7,4.1,4688,735,3,178,100,100
258,0.55,0.32,258,332.4,5.2,4653,811,14,157,100,100
259,0.55,0.32,259,1100.0,7.8,4400,1089,4,140,100,100
260,0.55,0.32,260,2153.0,8.6,4306,1173,2,136,100,100
261,0.55,0.32,261,1265.8,3.0,5063,455,4,153,100,100
262,0.55,0.32,262,1207.7,16.0,3623,1908,3,119,100,100
263,0.55,0.32,263,1655.7,3.4,4967,552,3,161,100,100
264,0.55,0.32,264,2413.0,3.9,4826,658,2,170,100,100
265,0.55,0.32,265,1282.2,3.5,5129,498,4,143,100,100
266,0.55,0.32,266,690.8,8.3,4145,1296,6,156,100,100
267,0.55,0.32,267,1657.3,3.7,4972,555,3,150,100,100
268,0.55,0.32,268,4755.0,4.5,4755,747,1,167,100,100
269,0.55,0.32,269,937.4,5.3,4687,806,5,152,100,100
270,0.55,0.32,270,1660.7,3.2,4982,521,3,163,100,100
271,0.55,0.32,271,927.2,6.3,4636,870,5,138,100,100
272,0.55,0.32,272,1187.0,4.6,4748,701,4,152,100,100
273,0.55,0.32,273,1601.3,4.8,4804,762,3,160,100,100
274,0.55,0.32,274,2359.0,5.5,4718,820,2,148,100,100
275,0.55,0.32,275,794.0,4.4,4764,699,6,159,100,100
276,0.55,0.32,276,1187.5,6.0,4750,804,4,133,100,100
277,0.55,0.32,277,987.2,3.6,4936,615,5,173,100,100
278,0.55,0.32,278,1162.2,5.1,4649,812,4,159,100,100
279,0.55,0.32,279,598.6,8.2,4190,1252,7,152,100,100
280,0.55,0.32,280,1510.7,5.4,4532,898,3,167,100,100
281,0.55,0.32,281,654.3,13.9,3926,1622,6,117,100,100
282,0.55,0.32,282,702.9,3.7,4920,638,7,173,100,100
283,0.55,0.32,283,1465.0,7.2,4395,1021,3,141,100,100
284,0.55,0.32,284,2475.0,3.7,4950,585,2,159,100,100
285,0.55,0.32,285,994.0,2.8,4970,546,5,194,100,100
286,0.55,0.32,286,519.6,4.9,4676,812,9,166,100,100
287,0.55,0.32,287,408.0,9.7,4080,1359,10,140,100,100
288,0.55,0.32,288,1684.0,3.1,5052,497,3,158,100,100
289,0.55,0.32,289,1185.5,5.4,4742,737,4,137,100,100
290,0.55,0.32,290,2436.5,3.3,4873,619,2,185,100,100
291,0.55,0.32,291,1653.3,3.4,4960,574,3,169,100,100
292,0.55,0.32,292,689.9,4.4,4829,699,7,159,100,100
293,0.55,0.32,293,871.2,6.9,4356,1053,5,153,100,100
294,0.55,0.32,294,4797.0,4.1,4797,693,1,170,100,100
295,0.55,0.32,295,616.5,17.1,3699,1826,6,107,100,100
296,0.55,0.32,296,1035.5,8.5,4142,1279,4,150,100,100
297,0.55,0.32,297,780.0,5.8,4680,828,6,144,100,100
298,0.55,0.32,298,1393.7,7.6,4181,1279,3,169,100,100
299,0.55,0.32,299,2385.0,5.1,4770,775,2,153,100,100
