,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
154,0.73,0.41,154,7084.0,1.4,7084,163,1,114,100,100
155,0.73,0.41,155,3587.5,1.6,7175,159,2,100,100,100
156,0.73,0.41,156,2388.7,1.7,7166,171,3,100,100,100
157,0.73,0.41,157,7048.0,1.6,7048,195,1,123,100,100
158,0.73,0.41,158,7179.0,1.5,7179,139,1,95,100,100
159,0.73,0.41,159,7096.0,1.8,7096,183,1,102,100,100
160,0.73,0.41,160,7059.0,1.7,7059,166,1,95,100,100
161,0.73,0.41,161,7106.0,1.6,7106,185,1,118,100,100
162,0.73,0.41,162,7024.0,1.7,7024,206,1,118,100,100
163,0.73,0.41,163,6956.0,1.8,6956,210,1,120,100,100
164,0.73,0.41,164,7087.0,1.8,7087,187,1,104,100,100
165,0.73,0.41,165,3567.0,1.5,7134,155,2,102,100,100
166,0.73,0.41,166,7167.0,1.7,7167,164,1,94,100,100
167,0.73,0.41,167,7182.0,1.8,7182,189,1,104,100,100
168,0.73,0.41,168,3630.5,1.5,7261,144,2,93,100,100
169,0.73,0.41,169,7229.0,1.5,7229,124,1,84,100,100
170,0.73,0.41,170,7107.0,1.8,7107,166,1,94,100,100
171,0.73,0.41,171,3630.0,1.5,7260,123,2,84,100,100
172,0.73,0.41,172,7096.0,1.6,7096,178,1,109,100,100
173,0.73,0.41,173,7141.0,1.6,7141,172,1,106,100,100
174,0.73,0.41,174,7040.0,1.6,7040,178,1,109,100,100
175,0.73,0.41,175,7140.0,1.5,7140,152,1,100,100,100
176,0.73,0.41,176,7129.0,1.6,7129,172,1,110,100,100
177,0.73,0.41,177,7117.0,1.9,7117,199,1,104,100,100
178,0.73,0.41,178,3613.0,1.6,7226,156,2,96,100,100
179,0.73,0.41,179,7192.0,1.3,7192,135,1,103,100,100
180,0.73,0.41,180,7156.0,1.5,7156,154,1,106,100,100
181,0.73,0.41,181,3583.0,1.5,7166,139,2,94,100,100
182,0.73,0.41,182,7191.0,1.4,7191,178,1,129,100,100
183,0.73,0.41,183,7066.0,1.7,7066,161,1,96,100,100
184,0.73,0.41,184,7088.0,1.6,7088,168,1,105,100,100
185,0.73,0.41,185,3555.5,1.4,7111,151,2,109,100,100
186,0.73,0.41,186,7133.0,1.4,7133,159,1,112,100,100
187,0.73,0.41,187,7209.0,1.5,7209,139,1,92,100,100
188,0.73,0.41,188,7031.0,1.6,7031,203,1,125,100,100
189,0.73,0.41,189,7109.0,1.5,7109,169,1,110,100,100
190,0.73,0.41,190,7241.0,1.4,7241,153,1,110,100,100
191,0.73,0.41,191,3513.0,1.9,7026,238,2,127,100,100
192,0.73,0.41,192,3586.0,1.5,7172,151,2,104,100,100
193,0.73,0.41,193,7152.0,1.5,7152,146,1,99,100,100
194,0.73,0.41,194,7157.0,1.3,7157,145,1,111,100,100
195,0.73,0.41,195,7211.0,1.4,7211,151,1,111,100,100
196,0.73,0.41,196,7202.0,1.5,7202,161,1,104,100,100
197,0.73,0.41,197,7182.0,1.3,7182,123,1,97,100,100
198,0.73,0.41,198,7180.0,1.4,7180,149,1,107,100,100
199,0.73,0.41,199,3561.5,1.8,7123,199,2,110,100,100
200,0.73,0.41,200,7303.0,1.3,7303,117,1,93,100,100
201,0.73,0.41,201,2387.0,1.4,7161,148,3,105,100,100
202,0.73,0.41,202,7150.0,1.6,7150,159,1,98,100,100
203,0.73,0.41,203,7165.0,1.9,7165,174,1,93,100,100
204,0.73,0.41,204,7248.0,1.3,7248,120,1,90,100,100
205,0.73,0.41,205,7133.0,1.4,7133,132,1,92,100,100
206,0.73,0.41,206,3571.5,1.5,7143,151,2,101,100,100
207,0.73,0.41,207,7234.0,1.5,7234,134,1,92,100,100
208,0.73,0.41,208,7165.0,1.4,7165,133,1,96,100,100
209,0.73,0.41,209,7160.0,1.6,7160,171,1,108,100,100
210,0.73,0.41,210,7208.0,1.4,7208,146,1,105,100,100
211,0.73,0.41,211,7096.0,1.7,7096,178,1,105,100,100
212,0.73,0.41,212,7245.0,1.3,7245,135,1,102,100,100
213,0.73,0.41,213,7196.0,1.5,7196,149,1,99,100,100
214,0.73,0.41,214,7141.0,1.3,7141,156,1,119,100,100
215,0.73,0.41,215,3552.0,1.4,7104,154,2,111,100,100
216,0.73,0.41,216,7084.0,1.8,7084,178,1,100,100,100
217,0.73,0.41,217,3568.5,1.6,7137,166,2,102,100,100
218,0.73,0.41,218,7071.0,1.9,7071,207,1,111,100,100
219,0.73,0.41,219,7088.0,1.6,7088,161,1,102,100,100
220,0.73,0.41,220,7202.0,1.4,7202,145,1,103,100,100
221,0.73,0.41,221,7092.0,1.3,7092,148,1,110,100,100
222,0.73,0.41,222,7238.0,1.5,7238,141,1,93,100,100
223,0.73,0.41,223,7078.0,1.9,7078,187,1,96,100,100
224,0.73,0.41,224,7074.0,1.6,7074,195,1,122,100,100
225,0.73,0.41,225,7071.0,1.4,7071,152,1,106,100,100
226,0.73,0.41,226,3586.5,1.6,7173,171,2,110,100,100
227,0.73,0.41,227,3566.0,1.6,7132,168,2,103,100,100
228,0.73,0.41,228,3571.5,1.5,7143,157,2,106,100,100
229,0.73,0.41,229,7082.0,1.6,7082,194,1,125,100,100
230,0.73,0.41,230,7162.0,1.4,7162,139,1,97,100,100
231,0.73,0.41,231,7103.0,1.6,7103,197,1,125,100,100
232,0.73,0.41,232,7148.0,1.6,7148,156,1,100,100,100
233,0.73,0.41,233,7130.0,1.3,7130,116,1,86,100,100
234,0.73,0.41,234,7214.0,1.5,7214,149,1,100,100,100
235,0.73,0.41,235,7165.0,1.4,7165,137,1,96,100,100
236,0.73,0.41,236,3607.5,1.4,7215,123,2,89,100,100
237,0.73,0.41,237,7164.0,1.4,7164,148,1,103,100,100
238,0.73,0.41,238,7187.0,1.3,7187,145,1,108,100,100
239,0.73,0.41,239,3552.0,1.6,7104,154,2,99,100,100
240,0.73,0.41,240,7185.0,1.4,7185,126,1,88,100,100
241,0.73,0.41,241,7223.0,1.5,7223,139,1,94,100,100
242,0.73,0.41,242,7113.0,1.6,7113,171,1,109,100,100
243,0.73,0.41,243,7243.0,1.4,7243,144,1,106,100,100
244,0.73,0.41,244,7100.0,1.5,7100,143,1,98,100,100
245,0.73,0.41,245,3605.0,1.4,7210,144,2,104,100,100
246,0.73,0.41,246,3571.5,1.2,7143,146,2,117,100,100
247,0.73,0.41,247,7068.0,1.7,7068,200,1,116,100,100
248,0.73,0.41,248,7150.0,1.4,7150,159,1,111,100,100
249,0.73,0.41,249,7142.0,1.5,7142,149,1,99,100,100
250,0.73,0.41,250,7217.0,1.9,7217,157,1,84,100,100
251,0.73,0.41,251,7103.0,1.6,7103,193,1,119,100,100
252,0.73,0.41,252,7151.0,1.6,7151,146,1,94,100,100
253,0.73,0.41,253,7174.0,1.4,7174,158,1,109,100,100
254,0.73,0.41,254,7259.0,1.4,7259,127,1,94,100,100
255,0.73,0.41,255,7105.0,2.0,7105,200,1,101,100,100
256,0.73,0.41,256,7100.0,1.3,7100,135,1,102,100,100
257,0.73,0.41,257,7114.0,1.4,7114,162,1,113,100,100
258,0.73,0.41,258,7160.0,1.7,7160,180,1,107,100,100
259,0.73,0.41,259,7163.0,1.5,7163,156,1,101,100,100
260,0.73,0.41,260,3610.0,1.4,7220,128,2,90,100,100
261,0.73,0.41,261,7170.0,1.5,7170,147,1,98,100,100
262,0.73,0.41,262,7147.0,1.5,7147,171,1,111,100,100
263,0.73,0.41,263,3522.0,1.5,7044,181,2,119,100,100
264,0.73,0.41,264,7100.0,1.5,7100,164,1,106,100,100
265,0.73,0.41,265,7101.0,1.5,7101,168,1,115,100,100
266,0.73,0.41,266,7204.0,1.3,7204,146,1,113,100,100
267,0.73,0.41,267,3471.5,2.5,6943,286,2,114,100,100
268,0.73,0.41,268,7200.0,1.4,7200,130,1,91,100,100
269,0.73,0.41,269,7065.0,1.8,7065,192,1,108,100,100
270,0.73,0.41,270,7203.0,1.7,7203,157,1,92,100,100
271,0.73,0.41,271,2377.7,1.6,7133,158,3,100,100,100
272,0.73,0.41,272,2395.0,1.6,7185,158,3,99,100,100
273,0.73,0.41,273,7113.0,1.8,7113,186,1,102,100,100
274,0.73,0.41,274,3604.0,1.7,7208,169,2,101,100,100
275,0.73,0.41,275,7073.0,2.0,7073,209,1,107,100,100
276,0.73,0.41,276,2385.0,1.4,7155,135,3,98,100,100
277,0.73,0.41,277,3538.0,1.7,7076,191,2,113,100,100
278,0.73,0.41,278,3556.0,1.5,7112,189,2,128,100,100
279,0.73,0.41,279,3572.0,1.3,7144,121,2,91,100,100
280,0.73,0.41,280,7172.0,1.3,7172,148,1,112,100,100
281,0.73,0.41,281,3540.0,1.8,7080,202,2,110,100,100
282,0.73,0.41,282,3525.0,1.8,7050,207,2,113,100,100
283,0.73,0.41,283,3564.5,1.6,7129,182,2,115,100,100
284,0.73,0.41,284,7054.0,1.7,7054,174,1,102,100,100
285,0.73,0.41,285,2387.3,1.3,7162,146,3,110,100,100
286,0.73,0.41,286,7121.0,1.3,7121,169,1,126,100,100
287,0.73,0.41,287,3616.0,1.4,7232,141,2,99,100,100
288,0.73,0.41,288,3603.5,1.5,7207,148,2,102,100,100
289,0.73,0.41,289,7160.0,1.5,7160,164,1,112,100,100
290,0.73,0.41,290,7121.0,1.5,7121,165,1,108,100,100
291,0.73,0.41,291,7102.0,1.6,7102,178,1,112,100,100
292,0.73,0.41,292,7101.0,1.6,7101,176,1,108,100,100
293,0.73,0.41,293,7083.0,1.5,7083,184,1,121,100,100
294,0.73,0.41,294,7118.0,1.6,7118,177,1,108,100,100
295,0.73,0.41,295,3589.5,1.6,7179,172,2,105,100,100
296,0.73,0.41,296,7063.0,2.3,7063,242,1,107,100,100
297,0.73,0.41,297,7124.0,1.7,7124,169,1,102,100,100
298,0.73,0.41,298,2366.3,1.7,7099,196,3,116,100,100
299,0.73,0.41,299,7018.0,1.7,7018,188,1,110,100,100
